Wavelength,Species,Brightness,Blended? ,Lifetime,Notes,,,Lower State,Upper State
1152.151,O I,,No,5.28E+08,"Optically thick, strongly self absorbed",,,,
1179.293,Cl I,,No,?,"faint C III multiplet at 1176A deserves a closer look, useful for albedo.",,,,
1188.774,Cl I,,Red-Side,2.33E+08,,,,,
1190.206,S III,,Blue Side,4.05E+07,,,,,
1194.061,S III,,Yes / w Self,5.38E+07,,,,,
1194.457,S III,,Yes / w Self,2.66E+07,,,,,
1196.753,O III,,Yes / w Self,2.95e+08 ,"ID uncertain, S V @ 1197.34 possible",,,,
1197.239,O III,,Yes / w Self,3.31E+08,"ID uncertain, S V @ 1197.34 possible",,,,
1197.331,O III,,Yes / w Self,2.78E+08,"ID uncertain, S V @ 1197.34 possible",,,,
1200.970,S III,,Yes / w Cl I,6.62E+07,,,,,
1201.353,Cl I,,Yes / w SIII,2.39E+08,,,,,
1201.730,S III,,Yes / w Self,1.36E+07,,,,,
1202.120,S III,,Yes / w Self,1.36E+06,,,,,
1203.861,S II,,Yes / w Self,3.68E+06,,,,,
1204.290,S II,,Yes / w Self,5.91E+07,,,,,
1204.335,S II,,Yes / w Self,5.79E+07,,,,,
1204.735,S II,,Yes / w Self,4.79E+06,,,,,
1208.850,S I,,No,?,,,,,
1211.212,S I,,Yes / w Self,?,,,,,
1211.380,S I,,Yes / w Self,?,,,,,
1212.795,S I,,Yes / w Lyα,?,No evalutation of Io's Lyα yet,,,,
1218.595,S I,,Yes / w Lyα,?,No evalutation of Io's Lyα yet,,,,
1224.424,S I,,Yes / w Self,?,,,,,
1224.479,S I,,Yes / w Self,?,,,,,
1224.544,S I,,Yes / w Self,?,,,,,
1226.706,S II,,Yes / w S I,7.30E+06,,,,,
1227.089,S I,,Yes / w S II,?,Possible S I or S V at ~1230,,,,
1233.44,S II,,Yes / w S I,1.74E+06,,,,,
1233.922,S I,,Yes / w S II,?,,,,,
1234.157,S II,,Yes / w S I,9.54E+06,,,,,
1241.905,S I,,No,1.22E+07,,,,,
1247.160,S I,,Yes / w Self,1.36E+07,,,,,
1248.045,S I,,Yes / w Self,7.53E+06,,,,,
1250.578,S II,,Yes / w S I,5.13E+07,"S II dominated, ground tranistion",,,,
1250.814,S I,,Yes / w S II,2.66E+06,,,,,
1253.297,S I,,Yes / w S II,5.29E+06,,,,,
1253.325,S I,,Yes / w S II,1.07E+07,,,,,
1253.805,S II,,Yes / w S II,5.12E+07,"S II dominated, ground tranistion",,,,
1256.093,S I,,No,7.98E+06,,,,,
1259.518,S II,,No,5.10E+07,"Brightest S II, ground tranistion",,,,
1261.5,un-ID,,No,,"Not S IV (missing1258.173), Not K II (1375.903 missing). Not S V (missing 1260.763)",,,,
1262.860,S I,,No,1.48E+07,,,,,
1269.209,S I,,No,8.18E+06,,,,,
1270.782,S I,,No,2.54E+07,,,,,
1277.199,S I,,Yes / w Self,1.05E+07,,,,,
