Wavelength,Oscillator Strength (gA),Species,Width,Amplitude,Blended? ,Lifetime,Notes
1152.151,2.64E+09,O I,0.2,80,No,5.28E+08,"Double gaussian, line in middle of peaks"
1179.293,,Cl I,,,No,?,"Double gaussian, line in middle, one more peak on right gaussian"
1188.774,1.40E+09,Cl I,0.21,25,Red-Side,2.33E+08,One peak on either side of single gaussian peak w line
1190.206,1.22E+08,S III,0.4,80,Blue Side,4.05E+07,"Wide large peak, line at dip in large peak"
1194.061,2.69E+08,S III,0.26,165,Yes / w Self,5.38E+07,Narrow peak on large bump
1194.457,7.98E+07,S III,,,Yes / w Self,2.66E+07,Line on descending portion of large bump on right
1196.753,2.06E+09,O III,,,Yes / w Self,2.95e+08 ,"Sparser data points, smaller peak near many Gaussians"
1197.239,2.98E+09,O III,,,Yes / w Self,3.31E+08,Line at dip in middle of Gaussians
1197.331,1.39E+09,O III,,,Yes / w Self,2.78E+08,"Same area of Gaussians, very small bump"
1200.97,4.63E+08,S III,0.26,160,Yes / w Cl I,6.62E+07,"Large bump, small dip in bump"
1201.353,9.56E+08,Cl I,0.35,120,Yes / w SIII,2.39E+08,Desceding portion of large bump #note this is also very close
1201.73,6.80E+07,S III,0.15,60,Yes / w Self,1.36E+07,"Seemingly flat portion in large bump, descending"
1202.12,4.08E+06,S III,,,Yes / w Self,1.36E+06,Very small bump in descending large bump
1203.861,2.21E+07,S II,,,Yes / w Self,3.68E+06,"Smooth part of peak, ascending"
1204.29,2.36E+08,S II,0.3,80,Yes / w Self,5.91E+07,"Single Gaussian, very close to each other"
1204.335,3.47E+08,S II,0.3,120,Yes / w Self,5.79E+07,Single Gaussian
1204.735,1.92E+07,S II,,,Yes / w Self,4.79E+06,Descending part of Gaussian
1208.85,,S I,,,No,?,"Low flux, many Gaussians"
1211.212,,S I,,,Yes / w Self,?,"Low flux, many Gaussians"
1211.38,,S I,,,Yes / w Self,?,"Low flux, many Gaussians"
1212.795,,S I,,,Yes / w Lyα,?,Ascending Gaussians
1218.595,,S I,,,Yes / w Lyα,?,"Descending Gaussian, next to many others"
1224.424,0.00E+00,S I,0.14,8,Yes / w Self,?,"Large peak, small amplitude"
1224.479,,S I,,,Yes / w Self,?,"Large peak, small amplitude"
1224.544,,S I,,,Yes / w Self,?,"Same peak, descending portion"
1226.706,1.46E+07,S II,,,Yes / w S I,7.30E+06,Peak by other Gaussians
1227.089,,S I,,,Yes / w S II,?,Ascending portion of small Gaussian
1233.44,6.96E+06,S II,,,Yes / w S I,1.74E+06,Small peak
1233.922,0.00E+00,S I,0.14,19,Yes / w S II,?,Ascending peak
1234.157,3.82E+07,S II,0.37,15,Yes / w S I,9.54E+06,Dip in peak
1241.905,3.66E+07,S I,,,No,1.22E+07,"Ascending peak, many Gaussians"
1247.16,9.52E+07,S I,0.2,13,Yes / w Self,1.36E+07,Top of plateau
1248.045,2.26E+07,S I,,,Yes / w Self,7.53E+06,"Very low flux, no bump"
1250.578,1.03E+08,S II,0.3,100,Yes / w S I,5.13E+07,"Large peak, high amplitude"
1250.814,7.98E+06,S I,,,Yes / w S II,2.66E+06,"Same peak, descending portion"
1253.297,1.59E+07,S I,0.1,8,Yes / w S II,5.29E+06,Ascending part of large peak
1253.325,5.35E+07,S I,0.1,40,Yes / w S II,1.07E+07,Ascending part of large peak
1253.805,2.05E+08,S II,0.35,210,Yes / w S II,5.12E+07,Middle plateau of same peak
1256.093,2.39E+07,S I,,,No,7.98E+06,"Very low flux, many Gaussians"
1259.518,3.06E+08,S II,0.3,463,No,5.10E+07,"Large peak, high amplitude"
1261.5,,un-ID,,,No,,"Small amplitude, dip"
1262.86,4.44E+07,S I,,,No,1.48E+07,"Low flux, many Gaussians"
1269.209,2.45E+07,S I,0.2,5,No,8.18E+06,"Low flux, dip in peak"
1270.782,1.78E+08,S I,0.22,40,No,2.54E+07,"High amplitude, middle peak"
1277.199,3.15E+07,S I,,,Yes / w Self,1.05E+07,Peak by other Gaussian
1277.212,9.20E+07,S I,,,Yes / w Self,1.84E+07,Same peak
1280.099,4.05E+07,S I,,,No,1.35E+07,"Very low flux, many Gaussians, dips below into negative flux"
1295.652,1.73E+09,S I,0.36,70,Yes / w Self,3.46E+08,"High amplitude, multiple Gaussians"
