brightness,gaussian_width,gaussian_width_unc,int_wv,obs_line_center,obs_line_center_unc
1.96E-16,0.636249737,0.133677432,1208.85,1209.043569,0.119079475
4.31E-16,0.97741313,0.397785915,1211.212,1211.759708,0.363209324
1.96E-16,0.636249737,0.133677432,1208.85,1209.043569,0.119079475
4.31E-16,0.97741313,0.397785915,1211.212,1211.759708,0.363209324
3.03E-15,1.17894792,0.307100163,1218.595,1217.078784,0.589740266
1.96E-16,0.636249737,0.133677432,1208.85,1209.043569,0.119079475
4.31E-16,0.97741313,0.397785915,1211.212,1211.759708,0.363209324
3.03E-15,1.17894792,0.307100163,1218.595,1217.078784,0.589740266
5.55E-17,0.236781981,0.032549796,1224.424,1224.491583,0.032549796
5.55E-17,0.236772583,0.032081471,1224.479,1224.491578,0.03208147
5.55E-17,0.236773232,0.031751978,1224.544,1224.49158,0.031751977
2.37E-16,0.535068226,0.063352117,1227.089,1227.019786,0.061124652
3.35E-16,0.389583799,0.025463603,1233.922,1234.11257,0.02536456
1.13E-18,0.035686042,0.008829182,1241.905,1241.955877,0.008829182
1.43E-16,0.318711063,0.028445967,1247.16,1247.222254,0.02844552
1.42E-16,0.317004867,0.036300845,1248.045,1247.224363,0.032513359
1.69E-15,0.315592073,0.007107501,1250.814,1250.620231,0.007106531
3.98E-15,0.339221123,0.005198519,1253.297,1253.837618,0.005046741
3.98E-15,0.339181606,0.005151921,1253.325,1253.837596,0.005034274
4.21E-18,0.079758763,0.019804918,1256.093,1256.065391,0.019804918
6.22E-15,2.148010469,2.888315827,1262.86,1259.112898,9.184057655
1.45E-16,0.155349435,0.007095403,1270.782,1270.782107,0.007095403
9.00E-18,0.119481257,0.022613179,1277.212,1275.957675,0.032418437
3.40E-34,1,1.00E-12,1280.099,1280.099,6.67E-13
1.05E-15,0.349035496,0.012816312,1295.652,1295.698498,0.012815812
1.06E-15,0.349969327,0.01302825,1296.174,1295.698292,0.012842291
5.22E-15,0.276706965,0.004307172,1302.337,1302.23897,0.004307171
5.22E-15,0.276545946,0.00434519,1302.863,1302.239008,0.004305411
5.38E-15,0.281587654,0.00524235,1303.111,1302.23687,0.004762281
2.24E-14,0.49292544,0.067595027,1303.4295,1301.866551,0.159488277
1.41E-13,1.475487187,0.34015866,1305.883,1303.400986,0.920862955
5.98E-17,0.240625771,0.029986372,1310.194,1310.247002,0.029986372
1.75E-17,0.191474115,0.050366178,1313.249,1313.151706,0.050366178
6.51E-16,0.202982808,0.005559627,1316.542,1316.563238,0.005559627
6.51E-16,0.202981092,0.00557075,1316.618,1316.563237,0.00557075
3.08E-16,0.208651425,0.008624878,1323.515,1323.547977,0.008624878
3.08E-16,0.208651092,0.008618797,1323.522,1323.547977,0.008618797
7.44E-17,0.184781424,0.01539505,1326.643,1326.685388,0.01539505
5.88E-16,0.254126344,0.00837009,1381.552,1381.481487,0.00837009
3.51E-16,0.259231175,0.010899839,1385.51,1385.517904,0.010899839
2.04E-15,0.3241639,0.013446678,1388.435,1388.469892,0.01344667
2.07E-15,0.327416302,0.015893106,1389.154,1388.469967,0.015511415
6.04E-16,0.26396362,0.009278345,1392.588,1392.595853,0.009278345
1.53E-15,0.27267284,0.005470608,1396.112,1396.129267,0.005470608
4.31E-16,0.230618721,0.008583524,1401.514,1401.518515,0.008583524
2.25E-16,0.198787605,0.009756312,1409.337,1409.325041,0.009756312
1.14E-16,0.244566984,0.021063106,1412.873,1412.947025,0.021063105
1.99E-15,0.20790586,0.004109449,1425.03,1425.073648,0.004109449
1.99E-15,0.207906609,0.004087554,1425.219,1425.073648,0.004087554
1.55E-32,1,3.55E-11,1433.28,1433.28,2.61E-11
1.17E-31,1.000000001,3.40E-10,1433.311,1433.311,2.50E-10
1.89E-31,1.000000001,4.45E-10,1436.968,1436.968,3.27E-10
