Wavelength,Species,Sigma,Amplitude
1152.151,O I,0.25,
1179.293,Cl I,0.26,
1188.774,Cl I,0.26,
1190.206,S III,0.4,
1194.061,S III,0.4,
1194.457,S III,0.4,
1196.753,O III,0.3,
1197.239,O III,0.3,
1197.331,O III,0.3,
1200.97,S III,0.4,
1201.353,Cl I,0.26,
1201.73,S III,0.4,
1202.12,S III,0.4,
1203.861,S II,0.31,
1204.29,S II,0.31,
1204.335,S II,0.31,
1204.735,S II,0.31,
1208.85,S I,0.23,2.00E-16
1211.212,S I,0.23,2.00E-16
1211.38,S I,0.23,2.00E-16
1212.795,S I,0.23,2.00E-16
1218.595,S I,0.23,2.00E-16
1224.424,S I,0.23,2.00E-16
1224.479,S I,0.23,2.00E-16
1224.544,S I,0.23,2.00E-16
1226.706,S II,0.31,
1227.089,S I,0.23,2.00E-16
1233.44,S II,0.31,
1233.922,S I,0.23,2.00E-16
1234.157,S II,0.31,
1241.905,S I,0.23,2.00E-16
1247.16,S I,0.23,2.00E-16
1248.045,S I,0.23,2.00E-16
1250.578,S II,0.31,
1250.814,S I,0.23,2.00E-16
1253.297,S I,0.23,2.00E-16
1253.325,S I,0.23,2.00E-16
1253.805,S II,0.31,
1256.093,S I,0.23,2.00E-16
1259.518,S II,0.31,
1261.5,un-ID,0.4,
1262.86,S I,0.23,2.00E-16
1269.209,S I,0.23,2.00E-16
1270.782,S I,0.23,2.00E-16
1277.199,S I,0.23,2.00E-16
1277.212,S I,0.23,2.00E-16
1280.099,S I,0.23,2.00E-16
1295.652,S I,0.23,2.00E-16
1296.174,S I,0.23,2.00E-16
1302.168,O I,0.25,
1302.337,S I,0.23,2.00E-16
1302.863,S I,0.23,
1303.111,S I,0.23,2.00E-16
1303.4295,S I,0.23,2.00E-16
1304.858,O I,0.25,
1305.883,S I,0.23,2.00E-16
1306.029,O I,0.25,
1310.194,S I,0.23,2.00E-16
1313.249,S I,0.23,2.00E-16
1316.542,S I,0.23,2.00E-16
1316.618,S I,0.23,2.00E-16
1323.515,S I,0.23,2.00E-16
1323.522,S I,0.23,2.00E-16
1326.643,S I,0.23,2.00E-16
1335.726,Cl I,0.26,
1347.24,Cl I,0.26,
1351.657,Cl I,0.26,
1355.598,O I,0.25,
1358.512,O I,0.25,
1363.447,Cl I,0.26,
1379.528,Cl I,0.26,
1381.552,S I,0.23,2.00E-16
1385.51,S I,0.23,2.00E-16
1388.435,S I,0.23,2.00E-16
1389.154,S I,0.23,2.00E-16
1389.693,Cl I,0.26,
1389.957,Cl I,0.26,
1392.588,S I,0.23,2.00E-16
1396.112,S I,0.23,2.00E-16
1401.514,S I,0.23,
1404.808,S IV,0.4,
1406.009,S IV,0.4,
1409.337,S I,0.23,2.00E-16
1412.873,S I,0.23,2.00E-16
1416.887,S IV,0.4,
1423.845,S IV,0.4,
1425.03,S I,0.23,2.00E-16
1425.219,S I,0.23,2.00E-16
1433.28,S I,0.23,2.00E-16
1433.311,S I,0.23,2.00E-16
1436.968,S I,0.23,2.00E-16
1448.229,S I,0.23,2.00E-16
