,gA(s^-1)
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,1.2075366502843215e-16
74,
75,2.662519335462971e-18
76,4.6519854560133696e-17
77,3.140915002925339e-16
78,7.456373851482422e-17
79,2.6328258112756515e-17
80,5.245855939759757e-17
81,1.7651150489128743e-16
82,7.885280311965924e-17
83,1.4648805265744228e-16
84,8.083237139881387e-17
85,7.522359460787576e-18
86,5.872719228158722e-16
87,1.1052589558613325e-16
88,2.593234445692559e-17
89,1.0392733465561782e-16
90,3.035338028037092e-16
91,1.3362085884293722e-16
92,5.707755204895836e-15
93,1.4450848437828765e-15
94,
95,1.9795682791546253e-15
96,1.5143697335532883e-15
97,1.5935524647194734e-15
98,2.9198632117530726e-16
99,1.939976913571533e-15
100,
101,
102,
103,
104,1.6826330372814315e-16
105,5.476805572327797e-17
106,1.8212028168222553e-15
107,3.4642444885205943e-16
108,2.345788410798231e-17
109,9.963827005078282e-16
110,3.365266074562863e-16
111,4.388043018792753e-16
112,
113,
114,
115,
116,
117,5.377827158370065e-18
118,
119,4.124100581572136e-18
120,9.139006888763853e-18
121,1.6727351958856585e-18
122,5.113884721149449e-18
123,9.501927739942201e-18
124,7.390388242177268e-16
125,4.2890646048350217e-16
126,2.276503521027819e-20
127,6.79651775843088e-20
128,1.405493478199784e-16
129,
130,8.743093232932929e-15
131,1.563858940532154e-15
132,1.0392733465561782e-16
